capacidad,tipo
,Private room in apartment
,Private room in apartment
,Entire apartment
,Private room in house
,Entire apartment
2,
,Private room in dorm
,Private room in apartment
,Entire apartment
,Entire apartment
,Entire apartment
,Entire house
,Private room in apartment
,Private room in apartment
,Private room in apartment
,Entire apartment
,Entire apartment
,Entire apartment
,Private room in house
,Entire apartment
,Entire apartment
,Private room in house
,Entire house
,Entire apartment
,
2,
,Entire apartment
7,
2,
1,
4,
3,
4,
4,
6,
